# x |x| K_N count nontrivial_mass_2^-64 min_program
0000000000011000110 19 19 74880 25650266112000 0000000000010001100011010
0000000001100000110 19 19 74699 25449610608640 0000000001000110000011010
0001100000000000110 19 19 72238 25195301568512 0001000110000000000011010
0000011000000110110 19 19 59595 25178507575296 00010001101000000110110
0000000000001111110 19 19 59365 24915927367680 0000000000000100101111110
0000000001111100010 19 19 64764 24857123225600 0000000001000110001011110
0000000001110001110 19 19 61339 24591422455808 000000000100011000110110
00010101101001101010 20 20 47250 24289013137408 0001010001101001101010
00011001011010011010 20 20 47127 24237070876672 0001100100011010011010
0000000000000111010 19 19 68929 24048360751104 0000000000000100100111010
0000000000000110110 19 19 67625 23871143018496 0000000000000100100110110
0000011000011100010 19 19 62704 23472113713152 0000010001100001110001010
0000000110011000110 19 19 62083 23408746168320 0000000100011001100011010
0000000101100011010 19 19 61749 23383479681024 0000000100010110001101010
00000000011111011110 20 20 45296 23382372384768 00000000010001101011110
0001100001110000010 19 19 60596 23373866336256 0001000110000111000001010
0000010110001100010 19 19 60351 23302428950528 0000010001011000110001010
0000011100001100010 19 19 62849 23269210062848 0000010001100001100010110
0001100001110001110 19 19 49982 23005237346304 000110000100011000110110
0000011100000011010 19 19 59279 22792703574016 0000010001100000011010110
0000000101101000110 19 19 59198 22769316134912 0000000100010110100011010
0000010111000001010 19 19 59452 22548930625536 0000010010010111000001010
0000011001110000010 19 19 59378 22543461253120 0000010010011001110000010
0000000111000011010 19 19 58775 22472812396544 0000000100011000011010110
0001010110001101010 19 19 50970 22468987191296 0001000101011000110101010
0000000101110001010 19 19 59873 22399042977792 0000000100100101110001010
0000010110001000110 19 19 58169 22396241182720 0000010001011000100011010
0000000110011100010 19 19 59675 22384547463168 0000000100100110011100010
0001100110011000110 19 19 50855 22381175242752 0001000110011001100011010
0001011001100011010 19 19 50728 22372199432192 0001000101100110001101010
0001100101100011010 19 19 50604 22363156512768 0001000110010110001101010
0000011100001111010 19 19 45887 22341681676288 000001000110000111010110
0000011000000011110 19 19 54280 22100442087424 0000010001100000001111010
0001011000110000010 19 19 52897 22084134633472 0001000101100011000001010
0000000111100000110 19 19 55410 22029927448576 0000000100011000001101110
00000101101100110110 20 20 34449 21932804145152 000001000110100110110
00000101110100111010 20 20 34439 21932250497024 000001000110100111010
0000010110100000110 19 19 54040 21931394859008 0000010001011010000011010
0001100000000110110 19 19 52381 21923677339648 010001100011000000110110
0001100000011100010 19 19 56031 21922821701632 0001000110000001110001010
0000010110000011010 19 19 55102 21791909085184 0000010001011000001101010
0001100101101000110 19 19 48451 21782127968256 0001000110010110100011010
0001010110100011010 19 19 48434 21778252431360 0001000101011010001101010
0000011000011000110 19 19 55873 21763756916736 0000010001100001100011010
0000000110000111010 19 19 54795 21648396779520 0000000100011000011101010
0000011001100000110 19 19 54261 21574308593664 0000010001100110000011010
0000010110000010110 19 19 56527 21566255529984 0000010010010110000010110
0000011100110000010 19 19 56507 21564930129920 0000010010011100110000010
0000000111001100010 19 19 56664 21414019072000 0000000100100111001100010
0001010110101000110 19 19 46391 21406351884288 0001000101011010100011010
0001011001101000110 19 19 46324 21401905922048 0001000101100110100011010
0000000101100010110 19 19 56505 21382813450240 0000000100100101100010110
0001011000001000110 19 19 51466 21268057292800 0001000101100000100011010
0001011010000000110 19 19 49672 21265456824320 0001000101101000000011010
0001100000011000110 19 19 52710 21262990573568 0001000110000001100011010
0001100110000111010 19 19 45464 21140063911936 0001000110011000011101010
0001100110000000110 19 19 50761 21129460711424 0001000110011000000011010
0001011000000011010 19 19 50506 21086796251136 0001000101100000001101010
0000010111000111010 19 19 45055 21013479817216 000001010001100011011010
0000011001110001110 19 19 44735 20944693231616 000001100100011000110110
00000001011010011010 20 20 52307 20799452872704 0000000100011010011010
0000000110000110110 19 19 52291 20709627658240 0000000100011000011011010
0000000001110011010 19 19 52094 20697850052608 0000000001001001110011010
0000000110000011110 19 19 49689 20673640529920 0000000100100110000011110
0000010110110000010 19 19 52269 20669983096832 0000010001100000100110110
0000010111010000010 19 19 52268 20669915987968 0000010001100000100111010
0001011000100000110 19 19 48330 20656376774656 0001000101100010000011010
0000000001011010110 19 19 51704 20640069320704 0000000001001001011010110
0000000101110100010 19 19 52869 20638039277568 0000000100011000100111010
0000000101101100010 19 19 52724 20607018205184 0000000100011000100110110
0001011000001100010 19 19 48042 20576282345472 0001000101100000110001010
0001100001100000110 19 19 49854 20490986979328 0001000110000110000011010
0001011000110011010 19 19 43601 20395440734208 0001000101100011001101010
0001011010011000110 19 19 43596 20394769645568 0001000101101001100011010
0000000001100011110 19 19 48791 20324137566208 0000000001001001100011110
0000011000000111010 19 19 50917 20298971742208 0000010001100000011101010
0000011100000001110 19 19 47889 19996847636480 0000010001100000001110110
0001100000000011110 19 19 45213 19934620942336 0001000110000000001111010
0000000000011111010 19 19 47762 19934503501824 0000000000010010011111010
0000000000011011110 19 19 47781 19932070805504 0000000000010010011011110
0000011100001110110 19 19 40930 19867444969472 000001110000100011010110
0001100000000111010 19 19 48168 19837950623744 0001000110000000011101010
0001011000011101010 19 19 41771 19766832005120 0001000101100001110101010
0000000001011101010 19 19 49146 19718647840768 0000000001001001011101010
