# x |x| K_N count nontrivial_mass_2^-64 min_program kt depth0 open_progs speed_nontrivial_lo_2^-128 speed_nontrivial_hi_2^-128 honest_nontrivial_lo_2^-128 honest_nontrivial_hi_2^-128 kt_program
0000000000011010 16 16 597408 182110119788544 0000000000010001101010 16 0 0 2807033912885149778307727911975763 2807033912885149778307727912194740 193509122357568256921026341250557 193509122357568256921026341847963 0000000000010001101010
0001011000100010 16 16 510670 179255979802624 000100010111010100010 16 0 0 2635989724479057402779268100234339 2635989724479057402779268100427604 189060281668745720455151681080284 189060281668745720455151681590945 000100010111010100010
0001100000000010 16 16 571943 178715694727168 0001000110000000001010 16 0 0 2742450207721364910383921998346636 2742450207721364910383921998558490 189785181443456603718168968189586 189785181443456603718168968761529 0001000110000000001010
0000000000001110 16 16 535604 172229438472192 0000000000000100101110 16 0 0 2553278999535314800768793899435823 2553278999535314800768793899642329 181911897682728768569973563851767 181911897682728768569973564387367 0000000000000100101110
0000000101101010 16 16 430518 160034977742848 0000000100010110101010 16 0 0 2486113182431744299930111919627352 2486113182431744299930111919793434 170154527877680359327852113186280 170154527877680359327852113616798 0000000100010110101010
0000000110011010 16 16 430482 160025280512000 0000000100011001101010 16 0 0 2486262914052061897021074485461629 2486262914052061897021074485627152 170153563470512723659843981642154 170153563470512723659843982072635 0000000100011001101010
0000010110100010 16 16 431874 158012626960384 0000010001011010001010 16 0 0 2433273038243560108810278374308297 2433273038243560108810278374468543 167820584337810038541803148494519 167820584337810038541803148926392 0000010001011010001010
0000000001110110 16 16 419028 157386979409920 000000000100011010110 16 0 0 2433010035425727833267799935770468 2433010035425727833267799935924756 167213660176660674073239619321497 167213660176660674073239619740520 000000000100011010110
0000010110001010 16 16 442834 156624069066752 0000010001011000101010 16 0 0 2403187109401644948947797393178733 2403187109401644948947797393342783 166144615918021705849403256338578 166144615918021705849403256781335 0000010001011000101010
0000011001100010 16 16 440219 156182199140352 0000010001100110001010 16 0 0 2402621398459881684593305267578009 2402621398459881684593305267739695 165832616050556459992728602024227 165832616050556459992728602464425 0000010001100110001010
0000000111100010 16 16 437009 154093653852160 0000000100011000101110 16 0 0 2383214112845979457518728600229711 2383214112845979457518728600381776 163772403234177885888510275645101 163772403234177885888510276082110 0000000100011000101110
0001010110101010 16 16 289072 150974886838272 0001000101011010101010 16 0 0 2346248054536844101357706483953564 2346248054536844101357706484093890 160424239888721636672644756984882 160424239888721636672644757273946 0001000101011010101010
0001100110011010 16 16 286975 150749661102080 0001000110011001101010 16 0 0 2345552964142842151919078272009224 2345552964142842151919078272147580 160234879060975327674068379654958 160234879060975327674068379941932 0001000110011001101010
0001100101101010 16 16 285402 150356101169152 0001000110010110101010 16 0 0 2343391661081174635398533881670991 2343391661081174635398533881807988 159862795008126220801178586860862 159862795008126220801178587146264 0001000110010110101010
0001011001101010 16 16 283955 150208797212672 0001000101100110101010 16 0 0 2342723478599865892278254371582282 2342723478599865892278254371718074 159728700578980600337528444615494 159728700578980600337528444899447 0001000101100110101010
0001011010000010 16 16 373116 149454728462336 0001000101101000001010 16 0 0 2314109093942574503098723141616284 2314109093942574503098723141755103 158835334589256731772959880331638 158835334589256731772959880704754 0001000101101000001010
0000011000011010 16 16 405239 148960748503040 0000010001100001101010 16 0 0 2327525467872587238441564254685077 2327525467872587238441564254829383 158509135521923844323064487194893 158509135521923844323064487600127 0000010001100001101010
0001100001110110 16 16 292999 148582321618944 000110000100011010110 16 0 0 2314711077210377659492315616164749 2314711077210377659492315616282509 157991895067029535648297731563834 157991895067029535648297731856833 000110000100011010110
0001100001100010 16 16 411584 148218306363392 0001000110000110001010 16 0 0 2283335698064362698482068532421472 2283335698064362698482068532569300 157354435337881956570770930554305 157354435337881956570770930965873 0001000110000110001010
0001100110000010 16 16 381393 147995555266560 0001000110011000001010 16 0 0 2289231954659820361104787431245953 2289231954659820361104787431388281 157264888188565174667564099940190 157264888188565174667564100321560 0001000110011000001010
0001011000001010 16 16 380283 147896410308608 0001000101100000101010 16 0 0 2288629876849955750483899180997758 2288629876849955750483899181139287 157167454288256279278203414553197 157167454288256279278203414933476 0001000101100000101010
0000000000111110 16 16 372782 147158850338816 0000000000010010111110 16 0 0 2282682703098289602055489783307212 2282682703098289602055489783439183 156446234632677719797539000532888 156446234632677719797539000905649 0000000000010010111110
0001100000011010 16 16 375384 144996627906560 0001000110000001101010 16 0 0 2269724580784846239557575527881714 2269724580784846239557575528016697 154324566766558313504775585974402 154324566766558313504775586349784 0001000110000001101010
0000011000001110 16 16 355584 139426508308480 0000010001100000111010 16 0 0 2152526912270438164874213334201439 2152526912270438164874213334333341 147959614713075249896108094786065 147959614713075249896108095141571 0000010001100000111010
0000011100000110 16 16 351111 135170514485248 0000010001100000110110 16 0 0 2106978610869689601744224128333678 2106978610869689601744224128454394 143778920473873372546318174948351 143778920473873372546318175299451 0000010001100000110110
